Router List
================================================================================
Total: 334 routers
Generated: 2025-10-23 14:41:32
================================================================================

 192. 220.128.20.61      220-128-20-61.chch-3331.hinet.net
 193. 220.128.20.17      220-128-20-17.chch-3331.hinet.net
 194. 210.69.49.254      210-69-49-254.hinet-ip.hinet.net
 195. 220.128.20.77      220-128-20-77.chch-3331.hinet.net
 196. 61.60.63.177       61-60-63-177.hinet-ip.hinet.net
 197. 140.112.8.116      www.ntu.edu.tw
 198. 140.112.9.9        mail.ntu.edu.tw
 199. 140.112.36.185     ftp.ntu.edu.tw
 200. 140.112.2.165      web5.cc.ntu.edu.tw
 201. 140.114.69.135     www.nthu.edu.tw
 202. 140.115.0.251      140-115-0-251.cc.ncu.edu.tw
 203. 140.120.152.122    dragon.nchu.edu.tw
 204. 140.120.1.20       www.nchu.edu.tw
 205. 140.120.152.123    mail.nchu.edu.tw
 206. 140.120.152.23     hcl.nchu.edu.tw
 207. 140.116.229.1      ncku.edu.tw
 208. 140.116.165.190    webmail.ncku.edu.tw
 209. 140.117.13.241     math.nsysu.edu.tw
 210. 140.117.11.25      www2.nsysu.edu.tw
 211. 140.123.2.25       incoming002025.ccu.edu.tw
 212. 140.123.26.100     portal.ccu.edu.tw
 213. 220.128.4.225      220-128-4-225.tpdt-3310.hinet.net
 214. 220.128.27.42      220-128-27-42.tne1-3052.hinet.net
 215. 203.75.188.193     203-75-188-193.hinet-ip.hinet.net
 216. 203.66.132.201     www.icbc.com.tw
 217. 220.128.26.57      220-128-26-57.tne1-3331.hinet.net
 218. 168.95.209.57      h57.s209.ts.hinet.net
 219. 202.39.57.251      lb.landbank.com.tw
 220. 202.39.57.29       ftp.landbank.com.tw
 221. 168.95.209.29      h29.s209.ts.hinet.net
 222. 61.219.233.144     61-219-233-144.hinet-ip.hinet.net
 223. 60.244.119.144     60-244-119-144.vdslpro.static.apol.com.tw
 224. 219.87.23.161      mail.firstbank.com.tw
 225. 139.175.58.146     r58-146.seed.net.tw
 226. 192.72.107.98      h98-192-72-107.seed.net.tw
 227. 168.95.210.29      h29.s210.ts.hinet.net
 228. 211.75.29.168      211-75-29-168.hinet-ip.hinet.net
 229. 203.75.188.181     203-75-188-181.hinet-ip.hinet.net
 230. 168.95.211.57      h57.s211.ts.hinet.net
 231. 168.95.228.13      h13.s228.ts.hinet.net
 232. 60.199.18.46       60-199-18-46.static.tfn.net.tw
 233. 168.95.81.193      h193.s81.ts.hinet.net
 234. 220.128.9.93       220-128-9-93.tyfo-3331.hinet.net
 235. 203.69.140.17      203-69-140-17.hinet-ip.hinet.net
 236. 220.128.9.153      220-128-9-153.tyfo-3332.hinet.net
 237. 220.128.9.89       220-128-9-89.tyfo-3331.hinet.net
 238. 192.72.107.190     h190-192-72-107.seed.net.tw
 239. 123.51.239.29      mail.ltn.com.tw
 240. 168.95.210.41      h41.s210.ts.hinet.net
 241. 60.251.96.132      mail.cna.com.tw
 242. 163.29.22.233      163-29-22-233.hinet-ip.hinet.net
 243. 61.219.29.202      61-219-29-202.hinet-ip.hinet.net
 244. 211.73.147.119     211-73-147-119.adsl.fetnet.net
 245. 220.128.25.217     220-128-25-217.skc1-3331.hinet.net
 246. 220.128.9.130      220-128-9-130.tylc-3032.hinet.net
 247. 220.128.9.149      220-128-9-149.tyfo-3332.hinet.net
 248. 210.242.36.209     210-242-36-209.hinet-ip.hinet.net
 249. 210.241.64.252     210-241-64-252.hinet-ip.hinet.net
 250. 203.74.40.249      203-74-40-249.hinet-ip.hinet.net
 251. 61.220.0.246       61-220-0-246.hinet-ip.hinet.net
 252. 168.95.1.1         dns.hinet.net
 253. 220.128.25.245     220-128-25-245.skc1-3315.hinet.net
 254. 203.74.41.245      203-74-41-245.hinet-ip.hinet.net
 255. 61.220.2.246       61-220-2-246.hinet-ip.hinet.net
 256. 168.95.192.1       dns.hinet.net
 257. 220.128.25.253     220-128-25-253.skc1-3316.hinet.net
 258. 220.128.4.73       220-128-4-73.pcpc-3331.hinet.net
 259. 220.128.5.61       220-128-5-61.pcpc-3331.hinet.net
 260. 220.128.4.193      220-128-4-193.pcpc-3331.hinet.net
 261. 220.128.9.45       220-128-9-45.clpy-3331.hinet.net
 262. 220.128.13.133     220-128-13-133.tpn2-3301.hinet.net
 263. 220.128.13.13      220-128-13-13.tpn2-3301.hinet.net
 264. 220.128.25.21      220-128-25-21.skc1-3331.hinet.net
 265. 203.66.35.4        203-66-35-4.hinet-ip.hinet.net
 266. 139.175.57.104     r57-104.seed.net.tw
 267. 223.200.22.41      223-200-22-41.hinet-ip.hinet.net
 268. 223.200.22.50      223-200-22-50.hinet-ip.hinet.net
 269. 220.128.25.221     220-128-25-221.skc1-3331.hinet.net
 270. 163.29.22.61       163-29-22-61.hinet-ip.hinet.net
 271. 210.69.8.97        210-69-8-97.hinet-ip.hinet.net
 272. 220.128.2.221      220-128-2-221.tpdb-3336.hinet.net
 273. 210.69.8.17        210-69-8-17.hinet-ip.hinet.net
 274. 163.29.138.237     163-29-138-237.hinet-ip.hinet.net
 275. 210.241.77.217     210-241-77-217.hinet-ip.hinet.net
 276. 163.29.183.193     163-29-183-193.hinet-ip.hinet.net
 277. 220.128.4.105      220-128-4-105.tpdb-3331.hinet.net
 278. 220.128.4.233      220-128-4-233.tpdb-3331.hinet.net
 279. 140.111.14.50      www.moe.gov.tw
 280. 140.111.34.172     mail.moe.gov.tw
 281. 210.241.72.137     210-241-72-137.hinet-ip.hinet.net
 282. 168.95.84.241      h241.s84.ts.hinet.net
 283. 220.128.8.62       220-128-8-62.tyfo-3031.hinet.net
 284. 210.69.221.194     210-69-221-194.hinet-ip.hinet.net
 285. 163.29.12.169      163-29-12-169.hinet-ip.hinet.net
 286. 210.69.221.186     210-69-221-186.hinet-ip.hinet.net
 287. 210.241.72.13      210-241-72-13.hinet-ip.hinet.net
