Source,Target,Weight,Type
10.10.10.246,203.68.94.45,1,Directed
203.68.94.45,203.68.94.45,1,Directed
192.192.61.121,140.128.251.221,1,Directed
140.128.251.221,140.128.251.97,1,Directed
140.128.251.97,140.128.153.252,1,Directed
140.128.153.252,140.128.153.252,1,Directed
140.128.153.252,140.128.153.23,1,Directed
140.128.153.23,140.128.153.23,1,Directed
211.22.226.198,220.128.27.101,1,Directed
220.128.27.101,168.95.229.189,1,Directed
168.95.229.189,211.22.242.169,1,Directed
211.22.242.169,211.22.242.169,1,Directed
220.128.2.5,168.95.210.57,1,Directed
168.95.210.57,203.69.108.171,1,Directed
203.69.108.171,210.242.70.113,1,Directed
210.242.70.113,210.242.150.33,1,Directed
210.242.150.33,210.242.150.33,1,Directed
192.192.68.62,3.169.121.99,1,Directed
3.169.121.99,3.169.121.99,1,Directed
220.128.2.225,203.75.188.197,1,Directed
203.75.188.197,203.74.177.231,1,Directed
203.74.177.231,203.74.177.231,1,Directed
220.128.8.222,220.128.8.113,1,Directed
220.128.8.113,211.22.224.109,1,Directed
211.22.224.109,203.66.32.200,1,Directed
203.66.32.200,203.66.32.200,1,Directed
13.106.238.151,20.247.216.149,1,Directed
20.247.216.149,20.247.216.149,1,Directed
211.22.226.198,220.128.12.150,1,Directed
220.128.12.150,220.128.5.61,1,Directed
220.128.5.61,211.22.227.217,1,Directed
211.22.227.217,203.66.32.105,1,Directed
203.66.32.105,203.66.32.105,1,Directed
220.128.9.130,220.128.9.149,1,Directed
220.128.9.149,168.95.229.105,1,Directed
168.95.229.105,60.251.244.98,1,Directed
60.251.244.98,60.251.244.98,1,Directed
140.123.231.111,211.76.96.177,1,Directed
211.76.96.177,203.79.251.102,1,Directed
203.79.208.138,60.244.126.106,1,Directed
60.244.126.106,124.219.1.131,1,Directed
124.219.1.131,124.219.1.131,1,Directed
168.95.211.45,202.39.144.209,1,Directed
202.39.144.209,210.242.36.217,1,Directed
210.242.36.217,210.242.36.6,1,Directed
